Full Path,NewClass,-,Class Compare,Original Class,-,Mask,Gender,Age,-,ImageName,Gender,Age,ID
/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,10,,TRUE,10,,1,1,1,,incorrect_mask.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,4,,TRUE,4,,0,1,1,,mask1.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,4,,TRUE,4,,0,1,1,,mask2.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,4,,TRUE,4,,0,1,1,,mask3.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,4,,TRUE,4,,0,1,1,,mask4.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,4,,TRUE,4,,0,1,1,,mask5.jpg,female,45,1
/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,16,,TRUE,16,,2,1,1,,normal.jpg,female,45,1
/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,10,,TRUE,10,,1,1,1,,incorrect_mask.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,4,,TRUE,4,,0,1,1,,mask1.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,4,,TRUE,4,,0,1,1,,mask2.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,4,,TRUE,4,,0,1,1,,mask3.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,4,,TRUE,4,,0,1,1,,mask4.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,4,,TRUE,4,,0,1,1,,mask5.jpg,female,52,2
/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,16,,TRUE,16,,2,1,1,,normal.jpg,female,52,2
/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,7,,TRUE,7,,1,0,1,,incorrect_mask.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,1,,TRUE,1,,0,0,1,,mask1.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,1,,TRUE,1,,0,0,1,,mask2.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,1,,TRUE,1,,0,0,1,,mask3.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,1,,TRUE,1,,0,0,1,,mask4.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,1,,TRUE,1,,0,0,1,,mask5.jpg,male,54,4
/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,13,,TRUE,13,,2,0,1,,normal.jpg,male,54,4
/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,10,,TRUE,10,,1,1,1,,incorrect_mask.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,4,,TRUE,4,,0,1,1,,mask1.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,4,,TRUE,4,,0,1,1,,mask2.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,4,,TRUE,4,,0,1,1,,mask3.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,4,,TRUE,4,,0,1,1,,mask4.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,4,,TRUE,4,,0,1,1,,mask5.jpg,female,58,5
/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,16,,TRUE,16,,2,1,1,,normal.jpg,female,58,5
/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,10,,TRUE,10,,1,1,1,,incorrect_mask.jpg,female,59,6
/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,4,,TRUE,4,,0,1,1,,mask1.jpg,female,59,6
/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,4,,TRUE,4,,0,1,1,,mask2.jpg,female,59,6
/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,4,,TRUE,4,,0,1,1,,mask3.jpg,female,59,6
/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,4,,TRUE,4,,0,1,1,,mask4.jpg,female,59,6
